Date,Actual Close ($),Predicted Close ($),Error ($),Percent Error (%)
2024-09-17,219.92,218.46,1.45,0.66
2024-09-20,225.68,227.23,1.55,0.69
2024-10-15,230.97,232.6,1.63,0.71
2024-10-24,230.6,231.4,0.8,0.35
2024-12-13,250.44,248.98,1.46,0.58
2025-02-05,232.66,231.66,1.0,0.43
2025-02-12,241.21,236.4,4.81,2.0
2025-02-20,245.23,245.07,0.16,0.06
2025-03-13,213.21,212.16,1.05,0.49
2025-03-27,217.61,220.28,2.67,1.23
2025-05-02,198.63,200.69,2.06,1.04
2025-05-07,197.23,198.7,1.47,0.75
2025-05-08,198.27,199.04,0.77,0.39
2025-05-13,212.33,212.13,0.2,0.1
